Brand,Model,Year,Mileage,FuelType,Transmission,EngineSize,Horsepower,Owner,Price
BMW,X1,2020,163094,Petrol,Manual,1040,136,1,2347770
BMW,3 Series,2013,49047,Diesel,Automatic,1152,133,2,2449890
Hyundai,Creta,2013,56571,Petrol,Manual,2583,364,3,700677
Hyundai,i20,2021,170396,Petrol,Automatic,1246,183,1,744562
BMW,5 Series,2016,54158,Diesel,Automatic,1139,143,3,2454873
Toyota,Camry,2019,158397,Diesel,Manual,1396,155,1,874431
Honda,City,2013,125062,Petrol,Automatic,2248,258,3,526849
Hyundai,Creta,2017,24160,Petrol,Automatic,1478,138,3,949911
BMW,3 Series,2022,145095,Petrol,Automatic,2869,234,1,2887760
Hyundai,i20,2012,170730,Diesel,Manual,1512,123,1,370461
BMW,5 Series,2016,26950,Diesel,Manual,2675,307,3,2880973
Toyota,Fortuner,2019,45492,Petrol,Manual,1478,209,2,1140545
Toyota,Camry,2017,76362,Petrol,Manual,2319,345,2,930396
Toyota,Fortuner,2022,122732,Diesel,Manual,2038,249,2,980210
Toyota,Fortuner,2014,149324,Diesel,Automatic,1821,229,1,788669
BMW,5 Series,2023,11117,Diesel,Automatic,1542,166,2,3211515
Hyundai,i20,2022,50944,Petrol,Manual,2933,377,3,1215315
Honda,City,2013,76358,Petrol,Automatic,2447,223,1,908099
Toyota,Corolla,2022,89614,Petrol,Manual,2170,258,1,1346103
Toyota,Corolla,2013,70842,Petrol,Manual,2231,202,1,778385
Toyota,Camry,2018,60653,Diesel,Automatic,2343,221,1,1358279
Hyundai,Verna,2013,139734,Diesel,Manual,2986,317,1,788138
Toyota,Camry,2017,34731,Diesel,Automatic,2128,301,2,1219020
Toyota,Corolla,2022,167857,Diesel,Automatic,2913,238,3,886721
BMW,X1,2022,96417,Diesel,Automatic,2245,238,2,2827645
Audi,A4,2022,144701,Petrol,Manual,2798,288,2,2456057
Audi,Q3,2013,174351,Petrol,Manual,3450,279,1,2178044
BMW,3 Series,2020,50188,Diesel,Automatic,3452,316,1,3358382
Hyundai,Creta,2021,169463,Petrol,Automatic,2746,272,2,867738
BMW,5 Series,2012,157287,Petrol,Manual,1273,126,2,1958578
Audi,A4,2015,68567,Petrol,Manual,3423,355,1,2678318
Honda,Amaze,2021,156538,Diesel,Manual,3354,303,2,1016408
Hyundai,i20,2014,170999,Petrol,Automatic,1584,128,1,369200
Honda,Civic,2021,69016,Diesel,Manual,3334,328,3,1119531
Hyundai,Verna,2014,9875,Diesel,Manual,2104,285,2,1011139
Audi,Q3,2017,178940,Petrol,Manual,1396,197,2,1987366
Audi,A3,2021,24129,Diesel,Manual,2759,278,1,2987770
BMW,X1,2023,86635,Petrol,Automatic,2317,333,1,3196642
Hyundai,i20,2018,31766,Diesel,Manual,3084,290,3,1217263
BMW,X1,2020,88579,Petrol,Automatic,1384,143,1,2724858
Honda,Amaze,2016,113111,Petrol,Automatic,2091,280,3,743534
Honda,Civic,2019,117199,Diesel,Manual,2512,282,1,1149195
Hyundai,Creta,2012,53379,Petrol,Automatic,3411,344,1,1087561
Toyota,Corolla,2017,20258,Petrol,Automatic,2447,207,1,1440477
Audi,Q3,2012,86142,Diesel,Automatic,1377,179,1,2441459
BMW,5 Series,2019,82541,Diesel,Automatic,3235,279,2,2997342
Audi,A4,2012,85675,Diesel,Manual,1168,173,1,2275775
Hyundai,i20,2014,22875,Petrol,Manual,1547,189,2,857635
Honda,City,2017,17538,Petrol,Manual,2692,384,2,1313571
Toyota,Corolla,2012,123435,Petrol,Manual,1666,166,1,536665
Toyota,Camry,2021,177920,Diesel,Manual,2408,333,1,1011454
Toyota,Corolla,2020,118703,Diesel,Automatic,2248,295,2,1161484
Toyota,Camry,2021,104795,Diesel,Manual,3154,385,3,1049661
Toyota,Corolla,2018,42615,Petrol,Automatic,2883,398,1,1420907
BMW,5 Series,2013,156995,Petrol,Manual,2838,317,2,2205204
Toyota,Camry,2021,145191,Diesel,Manual,1506,166,1,1002199
Hyundai,i20,2020,77439,Diesel,Manual,1488,209,1,1019581
Audi,Q3,2018,79215,Petrol,Automatic,2058,252,3,2415194
Toyota,Fortuner,2012,27897,Petrol,Automatic,2447,319,1,1255011
Hyundai,Creta,2021,102576,Petrol,Manual,1825,215,1,926678
Audi,A3,2023,155050,Petrol,Manual,2716,330,1,2689006
Audi,A3,2017,64212,Petrol,Manual,2563,227,1,2664344
Honda,City,2014,43772,Petrol,Manual,2082,255,2,988388
Toyota,Fortuner,2013,110285,Diesel,Manual,1266,157,3,334264
Honda,Amaze,2018,179425,Diesel,Automatic,2005,167,1,765477
BMW,5 Series,2014,153634,Petrol,Manual,1195,146,3,1982628
Hyundai,Verna,2013,128645,Petrol,Manual,2816,359,2,575152
Honda,Amaze,2013,72480,Petrol,Automatic,2360,302,1,1034124
Honda,Civic,2013,30453,Petrol,Manual,3397,460,1,1259653
BMW,5 Series,2016,166981,Petrol,Manual,1558,147,3,1989002
BMW,5 Series,2019,161216,Diesel,Manual,3217,481,2,2742381
Audi,Q3,2022,150124,Petrol,Manual,2351,210,1,2556201
Audi,A3,2016,97986,Diesel,Automatic,1178,118,2,2277630
Hyundai,Verna,2014,161625,Diesel,Manual,1869,227,2,353350
Audi,A3,2018,128675,Petrol,Manual,3205,443,1,2525194
Audi,Q3,2017,164918,Diesel,Automatic,2833,341,1,2560219
Hyundai,Verna,2012,24197,Petrol,Manual,2832,251,1,1022854
Honda,Civic,2020,6215,Diesel,Manual,3330,295,1,1653570
Hyundai,Verna,2023,115060,Diesel,Automatic,2467,295,1,1296079
BMW,5 Series,2017,93183,Diesel,Automatic,3314,385,2,2975467
Audi,A3,2017,103437,Diesel,Automatic,2303,238,1,2545831
Audi,A3,2015,101058,Petrol,Automatic,2489,287,1,2560504
Toyota,Fortuner,2019,49566,Petrol,Manual,3101,345,2,1226874
BMW,3 Series,2023,74095,Diesel,Automatic,1510,224,1,3088829
Audi,Q3,2013,45488,Petrol,Manual,2029,260,1,2547047
BMW,X1,2017,99814,Petrol,Manual,3361,423,1,2841687
BMW,3 Series,2023,172090,Petrol,Manual,3360,341,2,2752514
Toyota,Camry,2012,116011,Petrol,Automatic,3331,279,1,899498
Toyota,Camry,2014,97781,Diesel,Automatic,2849,293,1,1059784
BMW,3 Series,2014,171579,Petrol,Automatic,2891,238,2,2200761
BMW,3 Series,2017,101124,Petrol,Manual,2800,270,1,2659435
BMW,3 Series,2020,153841,Petrol,Manual,2054,270,1,2529681
Hyundai,Verna,2016,35318,Petrol,Automatic,2990,398,2,1309204
BMW,3 Series,2016,74752,Petrol,Manual,3366,309,1,2798389
BMW,3 Series,2021,103216,Petrol,Automatic,2331,275,1,3071848
Hyundai,Creta,2022,137196,Diesel,Automatic,1983,284,1,998449
Hyundai,i20,2012,18337,Diesel,Manual,1864,151,3,656072
Honda,Civic,2013,97417,Petrol,Automatic,2013,161,2,726316
Audi,A3,2020,130397,Diesel,Manual,2190,213,1,2565542
BMW,3 Series,2017,134321,Diesel,Automatic,2453,282,1,2678018
BMW,5 Series,2012,71524,Petrol,Automatic,1643,219,2,2359135
Audi,A4,2016,124640,Petrol,Automatic,1169,97,3,2015761
Audi,A3,2016,42096,Petrol,Automatic,2015,213,3,2527035
Hyundai,i20,2015,29529,Petrol,Automatic,2605,340,1,1292889
Audi,A4,2022,175357,Diesel,Automatic,1012,137,1,2456360
Audi,A4,2019,15227,Petrol,Automatic,1693,191,1,2929836
Audi,A3,2013,175676,Petrol,Automatic,2060,180,1,2105450
Hyundai,Creta,2020,159531,Diesel,Manual,2985,379,3,597010
Toyota,Fortuner,2016,47595,Diesel,Manual,1400,139,2,842609
Toyota,Camry,2017,33441,Petrol,Automatic,2238,192,2,1263751
BMW,X1,2012,84826,Diesel,Manual,1316,150,1,2410563
Toyota,Fortuner,2022,90904,Diesel,Automatic,1571,197,1,1215066
Hyundai,Verna,2015,150554,Diesel,Manual,2683,222,2,523911
Audi,A3,2018,77560,Petrol,Manual,2344,226,2,2434279
Audi,Q3,2021,43861,Petrol,Manual,1846,158,2,2752917
Hyundai,Creta,2022,23685,Petrol,Manual,1659,217,3,1002499
Audi,A3,2023,43888,Petrol,Automatic,2714,372,2,3099479
Hyundai,Creta,2022,119854,Diesel,Manual,1796,227,2,835963
Honda,Amaze,2016,59450,Diesel,Manual,2158,273,2,916114
Toyota,Camry,2021,178466,Petrol,Automatic,1797,143,1,918579
Hyundai,Verna,2019,11034,Petrol,Manual,1126,133,1,1061293
BMW,5 Series,2014,137371,Diesel,Manual,1947,278,2,2290523
Hyundai,i20,2022,99003,Petrol,Automatic,2697,387,2,1236863
Audi,A4,2019,130949,Petrol,Manual,1239,137,1,2256463
Hyundai,i20,2016,172716,Diesel,Automatic,2896,243,3,512183
Hyundai,Creta,2020,8374,Petrol,Automatic,3314,343,3,1370563
Hyundai,i20,2013,102862,Petrol,Automatic,2061,181,2,718643
BMW,X1,2013,132000,Diesel,Automatic,1054,132,3,2180155
Audi,A4,2013,83539,Petrol,Manual,1507,141,1,2232252
BMW,3 Series,2016,7078,Diesel,Automatic,1826,189,2,2970973
Audi,Q3,2017,68231,Diesel,Automatic,1330,161,1,2691599
Honda,Civic,2012,178708,Petrol,Automatic,2332,228,1,578717
Toyota,Camry,2022,130228,Petrol,Automatic,2897,396,1,1290578
BMW,3 Series,2016,17120,Diesel,Manual,2029,175,1,3048395
Toyota,Corolla,2014,165342,Diesel,Manual,1546,123,1,434709
Toyota,Fortuner,2021,24789,Diesel,Automatic,2600,300,1,1773718
Hyundai,Creta,2020,140633,Diesel,Automatic,2244,321,3,861462
BMW,X1,2018,54678,Diesel,Automatic,3348,307,1,3315867
Audi,Q3,2021,34218,Diesel,Automatic,3301,418,1,3223533
BMW,X1,2015,83579,Petrol,Manual,1592,224,2,2521126
Hyundai,Creta,2020,130673,Petrol,Automatic,3366,474,2,945976
Hyundai,i20,2016,62617,Diesel,Automatic,1373,125,1,1098633
Honda,Civic,2019,88795,Diesel,Manual,2192,177,1,979066
Hyundai,i20,2015,45272,Petrol,Manual,2655,278,2,877546
Hyundai,i20,2020,114668,Diesel,Manual,1377,119,1,807379
Toyota,Fortuner,2023,75886,Petrol,Automatic,1224,100,2,1057187
Hyundai,Verna,2017,156404,Diesel,Automatic,2203,204,1,817952
BMW,5 Series,2016,56801,Diesel,Manual,1620,142,3,2611834
Toyota,Camry,2022,144779,Petrol,Manual,1831,174,2,934026
BMW,5 Series,2019,43521,Diesel,Automatic,1623,225,1,3122209
Audi,Q3,2017,100522,Diesel,Manual,1103,143,1,2436779
Toyota,Fortuner,2023,99596,Diesel,Automatic,3196,427,1,1613658
Audi,A3,2016,77819,Diesel,Automatic,2242,312,2,2604217
Toyota,Camry,2013,124727,Diesel,Automatic,1141,142,1,687442
Audi,Q3,2019,6001,Petrol,Automatic,1917,200,2,2871551
BMW,X1,2016,76946,Diesel,Manual,2527,317,3,2688379
Hyundai,i20,2016,46572,Petrol,Automatic,1375,128,2,982423
BMW,3 Series,2021,174388,Petrol,Automatic,1060,92,2,2263319
Honda,Civic,2013,126122,Petrol,Automatic,2140,299,2,620765
Audi,A4,2013,61125,Diesel,Automatic,1249,114,2,2234565
Hyundai,i20,2012,135628,Petrol,Manual,1830,258,2,255536
Audi,A3,2016,108485,Diesel,Automatic,2566,239,2,2511744
Audi,A4,2014,105970,Diesel,Automatic,2134,220,2,2393758
Toyota,Corolla,2017,103359,Diesel,Automatic,2686,236,1,1241969
Audi,Q3,2016,11489,Petrol,Manual,3223,418,1,3042936
Audi,Q3,2020,32147,Diesel,Automatic,2471,255,1,3105089
BMW,3 Series,2022,102379,Diesel,Automatic,2364,338,1,2982553
BMW,3 Series,2014,75749,Petrol,Manual,3262,410,1,2810555
Toyota,Camry,2023,147934,Petrol,Automatic,1983,233,2,1033367
BMW,3 Series,2023,76072,Petrol,Automatic,3420,291,2,3219917
Toyota,Camry,2019,93009,Diesel,Manual,2629,338,1,1243984
Toyota,Fortuner,2022,170430,Diesel,Automatic,1014,95,1,767696
Toyota,Fortuner,2015,135714,Petrol,Manual,2144,227,1,828190
Honda,City,2012,178066,Petrol,Manual,2080,201,1,302236
Toyota,Camry,2021,136136,Diesel,Manual,3044,358,2,1070169
Honda,City,2016,124781,Diesel,Automatic,2071,188,3,547648
Toyota,Fortuner,2019,66962,Diesel,Automatic,1449,140,1,1317484
Toyota,Camry,2016,71907,Diesel,Automatic,1860,222,1,1175421
BMW,X1,2023,158017,Diesel,Automatic,2735,263,3,2782732
BMW,3 Series,2020,29410,Petrol,Manual,1380,112,3,2614638
Audi,A3,2015,131064,Petrol,Automatic,1252,117,1,2150653
Hyundai,Verna,2021,113107,Petrol,Manual,1655,162,2,673650
Audi,A4,2013,108796,Diesel,Manual,2858,318,1,2494404
BMW,3 Series,2015,39740,Diesel,Automatic,1990,182,1,2823754
BMW,X1,2012,173354,Diesel,Automatic,1621,213,1,2120590
BMW,X1,2015,128668,Diesel,Automatic,3448,395,1,2696993
Toyota,Fortuner,2019,90031,Petrol,Manual,3373,459,1,1416354
Hyundai,i20,2020,175241,Diesel,Automatic,1946,195,2,648272
Honda,Civic,2022,91429,Petrol,Manual,3164,273,1,1401471
Hyundai,Verna,2015,36642,Diesel,Automatic,1992,289,1,1150637
Toyota,Camry,2012,70442,Diesel,Manual,3397,449,1,1043688
Toyota,Camry,2017,60546,Diesel,Manual,3363,323,1,1349331
BMW,X1,2020,137271,Petrol,Manual,1636,172,1,2547047
Hyundai,Verna,2014,166163,Diesel,Manual,1689,142,2,233481
Hyundai,Creta,2023,30277,Diesel,Automatic,2574,270,1,1623375
Audi,Q3,2017,22933,Diesel,Manual,3045,340,3,2839808
Audi,A3,2020,152067,Diesel,Manual,1218,166,1,2396922
Honda,Civic,2013,49431,Petrol,Automatic,1324,142,2,830412
BMW,5 Series,2013,36041,Petrol,Automatic,1007,92,2,2508770
Audi,A3,2017,48928,Petrol,Automatic,3215,320,2,2769088
BMW,3 Series,2019,119319,Diesel,Automatic,2058,174,1,2803616
Audi,Q3,2013,37655,Diesel,Automatic,2058,248,3,2497101
Honda,City,2021,155284,Diesel,Automatic,1017,125,3,524984
Honda,Amaze,2014,166671,Diesel,Manual,1840,242,1,589379
BMW,3 Series,2023,84303,Diesel,Automatic,2216,289,1,3270343
Hyundai,Creta,2021,177658,Diesel,Automatic,3254,264,1,1064004
Honda,Amaze,2013,23442,Diesel,Manual,2998,404,2,1121168
BMW,X1,2017,157390,Diesel,Manual,1550,194,2,2201166
Audi,A3,2019,86879,Diesel,Manual,3048,370,3,2618280
Hyundai,Creta,2019,143659,Petrol,Automatic,3058,406,2,979028
Hyundai,Verna,2012,44916,Petrol,Manual,1996,207,3,494803
Toyota,Corolla,2015,143594,Diesel,Manual,1585,219,2,613921
Honda,Civic,2018,104600,Petrol,Manual,1784,155,1,770249
Hyundai,i20,2013,64717,Diesel,Manual,2035,242,2,725906
Audi,A3,2018,138893,Diesel,Manual,3020,273,3,2305004
Hyundai,Verna,2013,124276,Petrol,Manual,1013,84,2,268442
Audi,A4,2012,123904,Petrol,Automatic,2645,333,3,2111263
Audi,Q3,2019,174478,Diesel,Manual,2159,254,1,2373650
Honda,Civic,2016,171307,Diesel,Automatic,1936,221,1,744839
Toyota,Fortuner,2017,51424,Petrol,Manual,2937,281,1,1188418
BMW,3 Series,2015,122646,Petrol,Automatic,1658,221,1,2399273
Audi,Q3,2018,98224,Petrol,Automatic,2440,361,3,2325774
Audi,A3,2017,25396,Diesel,Manual,2003,187,1,2822743
Honda,Amaze,2023,54810,Petrol,Manual,3323,379,2,1488560
BMW,5 Series,2017,9307,Petrol,Automatic,2302,250,2,2958022
Toyota,Fortuner,2012,73031,Petrol,Manual,1887,151,2,670563
Audi,A4,2017,138184,Petrol,Automatic,3479,370,1,2709860
Honda,Civic,2020,100852,Diesel,Automatic,2552,234,3,1098487
BMW,X1,2021,111069,Petrol,Automatic,1226,162,1,2738574
Toyota,Corolla,2014,33656,Diesel,Automatic,1936,258,1,1271240
Toyota,Fortuner,2019,26189,Diesel,Manual,3180,366,1,1546965
Honda,Amaze,2014,154187,Diesel,Manual,2550,206,2,475947
BMW,3 Series,2016,128080,Diesel,Manual,2421,282,1,2689310
Honda,Civic,2017,151812,Petrol,Automatic,1011,122,1,657792
Hyundai,Creta,2020,23287,Petrol,Manual,2502,337,1,1411374
BMW,5 Series,2016,118263,Petrol,Manual,2499,287,1,2473404
Toyota,Corolla,2013,61182,Diesel,Manual,3158,327,1,1108640
Audi,A3,2023,127152,Petrol,Automatic,1607,206,3,2474267
Toyota,Corolla,2018,91811,Petrol,Manual,2187,188,1,1071888
BMW,5 Series,2020,65530,Diesel,Manual,3027,408,1,3130240
Audi,A4,2018,113467,Petrol,Manual,2448,335,1,2515437
Toyota,Camry,2017,9399,Diesel,Automatic,1615,230,3,1099161
Audi,A4,2012,45795,Diesel,Manual,1048,126,1,2253142
Honda,Civic,2020,75633,Diesel,Manual,1821,164,3,887867
Audi,Q3,2012,161606,Diesel,Automatic,2161,214,2,1964908
Honda,Civic,2015,111375,Diesel,Automatic,3390,490,1,1208267
Honda,Civic,2023,135407,Diesel,Manual,1215,133,1,959475
Honda,Amaze,2019,89885,Diesel,Automatic,3438,278,1,1480973
Hyundai,Creta,2023,147153,Diesel,Automatic,3499,368,1,1203167
Audi,A3,2021,56790,Diesel,Automatic,1993,160,2,2810434
Toyota,Corolla,2014,78128,Petrol,Manual,1608,154,2,717663
Toyota,Camry,2012,84439,Diesel,Automatic,2476,244,1,991255
Honda,Civic,2017,115190,Diesel,Automatic,2818,256,2,868768
BMW,5 Series,2021,137033,Petrol,Automatic,1139,164,1,2675700
Honda,Civic,2014,42704,Petrol,Manual,2907,377,3,968176
Hyundai,Creta,2019,170089,Petrol,Manual,2237,224,1,591296
Honda,Civic,2019,45288,Diesel,Manual,1523,149,2,935383
Toyota,Corolla,2021,153573,Diesel,Automatic,1274,170,1,965038
Audi,A4,2020,150666,Petrol,Manual,3436,324,2,2492765
Hyundai,i20,2023,175844,Diesel,Manual,2228,207,3,730811
Audi,A4,2019,167795,Diesel,Manual,2445,347,2,2362690
Honda,Civic,2016,12719,Petrol,Manual,3451,422,2,1311938
Hyundai,Verna,2021,75702,Petrol,Automatic,2256,200,3,1030754
Audi,A3,2012,84867,Diesel,Manual,1808,160,1,2356468
Toyota,Corolla,2020,80445,Diesel,Automatic,3022,249,2,1413201
BMW,3 Series,2012,127488,Diesel,Manual,2844,283,2,2440658
BMW,3 Series,2022,22512,Diesel,Automatic,1019,128,2,3025865
Honda,City,2019,11229,Diesel,Automatic,1107,107,1,1385150
BMW,X1,2016,145217,Petrol,Manual,1758,231,1,2428984
Hyundai,i20,2014,41738,Petrol,Manual,1343,147,1,764210
Toyota,Corolla,2019,126040,Petrol,Automatic,2523,371,3,827584
Toyota,Corolla,2018,9854,Petrol,Automatic,3393,276,2,1415117
Audi,Q3,2020,109034,Diesel,Automatic,3312,414,1,2849922
Hyundai,Creta,2023,77851,Diesel,Manual,2479,305,1,1286265
Hyundai,Verna,2012,124577,Diesel,Manual,1092,137,1,376264
Honda,City,2018,69379,Diesel,Manual,1603,152,1,1018761
Audi,A4,2020,171757,Petrol,Automatic,2275,255,1,2509597
Honda,Civic,2017,98492,Diesel,Manual,2379,195,1,960439
BMW,3 Series,2023,162051,Diesel,Manual,1745,205,2,2491026
BMW,X1,2022,163665,Petrol,Manual,1020,137,2,2244188
Toyota,Camry,2023,148362,Diesel,Manual,2794,291,1,1185370
Audi,A4,2014,176236,Diesel,Automatic,2030,205,1,2121922
BMW,3 Series,2014,144323,Petrol,Automatic,3174,348,2,2445168
Hyundai,Verna,2019,139711,Diesel,Manual,1602,227,2,690529
BMW,X1,2023,6877,Petrol,Automatic,1639,221,2,3274417
Honda,Civic,2013,137005,Diesel,Manual,2400,306,2,593898
BMW,3 Series,2022,29243,Diesel,Automatic,3347,294,3,3192880
Toyota,Fortuner,2014,136539,Petrol,Automatic,2454,315,1,836314
Honda,Civic,2012,111634,Diesel,Automatic,1252,114,1,731242
Honda,Civic,2018,93575,Diesel,Manual,2013,192,1,1103301
Hyundai,i20,2019,159710,Diesel,Manual,2311,197,2,555025
Audi,A4,2017,144716,Diesel,Manual,2635,332,2,2266510
Toyota,Camry,2016,149994,Petrol,Manual,2969,305,2,691421
BMW,5 Series,2019,77151,Petrol,Automatic,2579,218,2,2843778
Audi,A3,2015,81905,Petrol,Automatic,1459,179,1,2510969
BMW,3 Series,2021,9664,Diesel,Automatic,1239,170,2,3093000
Honda,Civic,2021,14957,Diesel,Automatic,2746,272,1,1683399
Hyundai,i20,2022,95250,Petrol,Manual,2607,379,1,1088553
Audi,A4,2017,121501,Petrol,Automatic,2548,301,2,2462101
BMW,X1,2017,95150,Diesel,Automatic,1141,142,1,2755846
Audi,A3,2022,107587,Petrol,Manual,2032,235,2,2535350
Hyundai,Creta,2020,143487,Diesel,Manual,2511,343,2,940263
BMW,3 Series,2012,104533,Diesel,Manual,1220,128,1,2273013
BMW,5 Series,2021,141445,Petrol,Manual,2729,284,2,2565255
BMW,5 Series,2015,179633,Diesel,Manual,2810,396,1,2375695
Toyota,Fortuner,2022,83370,Diesel,Automatic,2763,345,3,1293604
Hyundai,Creta,2012,59908,Diesel,Automatic,2325,245,1,886390
Honda,Civic,2017,95853,Diesel,Manual,2539,345,1,1112155
Honda,City,2022,113228,Diesel,Automatic,2515,301,1,1247084
Hyundai,Verna,2019,15006,Petrol,Manual,2486,341,1,1470347
Hyundai,Creta,2013,161279,Diesel,Manual,3244,334,2,423898
Honda,City,2015,85874,Petrol,Automatic,2432,341,1,987634
BMW,X1,2021,159588,Petrol,Automatic,1733,219,1,2546304
BMW,5 Series,2013,36829,Petrol,Manual,2714,321,1,2732558
Audi,A3,2013,32552,Diesel,Manual,3063,322,2,2636056
BMW,5 Series,2012,103424,Petrol,Automatic,2045,273,1,2529043
Honda,Amaze,2017,33426,Petrol,Manual,3168,330,1,1428970
BMW,X1,2020,169690,Diesel,Automatic,1337,124,2,2375555
Honda,Amaze,2016,157483,Diesel,Automatic,1303,132,2,498679
Honda,Amaze,2018,133500,Diesel,Automatic,3150,365,2,959128
Honda,City,2015,110521,Diesel,Manual,3476,346,1,1003934
Hyundai,Verna,2019,73019,Petrol,Automatic,2400,329,2,1157922
Audi,A3,2017,167759,Diesel,Manual,2764,378,1,2259238
Toyota,Corolla,2022,129376,Diesel,Manual,2415,334,1,1229250
Honda,Civic,2019,9341,Petrol,Automatic,2131,233,1,1427579
BMW,3 Series,2015,76954,Petrol,Manual,1021,90,2,2442754
Honda,Civic,2018,9168,Petrol,Automatic,2606,358,1,1595399
Hyundai,i20,2019,7372,Petrol,Manual,2309,320,1,1276757
BMW,X1,2012,65568,Petrol,Automatic,2605,363,1,2648700
Audi,Q3,2016,164018,Petrol,Automatic,2796,398,1,2473357
BMW,X1,2022,79997,Diesel,Manual,1192,99,2,2780967
BMW,5 Series,2020,102080,Petrol,Manual,1945,187,1,2793871
Honda,Amaze,2023,52125,Diesel,Automatic,3115,275,1,1667356
Toyota,Corolla,2021,65428,Petrol,Automatic,1226,102,1,1277064
BMW,X1,2014,157472,Petrol,Manual,3281,374,3,2106149
Audi,A3,2015,163751,Petrol,Manual,1577,137,2,1793200
Honda,Civic,2020,149598,Diesel,Manual,1834,150,1,738837
BMW,3 Series,2020,65136,Diesel,Manual,3044,381,1,3024273
Audi,A3,2014,168855,Petrol,Manual,1422,163,1,1918598
Toyota,Corolla,2023,129784,Petrol,Automatic,3460,355,1,1382879
Hyundai,Creta,2023,40246,Diesel,Manual,2557,343,1,1587255
BMW,3 Series,2014,142275,Petrol,Manual,3371,369,1,2651018
Honda,Civic,2020,122555,Petrol,Automatic,3153,296,1,1279883
Audi,A3,2016,44505,Diesel,Manual,1915,186,2,2492315
Honda,City,2013,114504,Petrol,Automatic,2937,241,1,782522
Honda,City,2016,24887,Diesel,Manual,2137,224,1,1275960
Hyundai,Verna,2013,44569,Diesel,Manual,2486,281,2,862012
Honda,Civic,2020,93066,Diesel,Manual,1752,195,1,1088587
Audi,A4,2019,36981,Diesel,Manual,3032,299,1,2941903
Audi,A4,2014,95810,Petrol,Automatic,1889,272,1,2439091
Honda,Amaze,2012,81050,Petrol,Manual,3256,370,1,955099
Toyota,Camry,2013,136232,Petrol,Automatic,3237,446,2,752065
Hyundai,Verna,2022,155318,Diesel,Manual,2347,284,1,844207
Audi,Q3,2022,157341,Petrol,Automatic,3327,351,2,2708888
Toyota,Corolla,2016,8475,Diesel,Automatic,2640,263,1,1554540
Toyota,Camry,2013,129867,Petrol,Manual,1793,178,1,607572
BMW,X1,2016,84171,Petrol,Automatic,2789,375,1,3002137
BMW,X1,2016,159139,Petrol,Automatic,3426,505,2,2549822
Audi,A3,2013,97745,Diesel,Automatic,3366,440,1,2530368
BMW,X1,2023,116993,Diesel,Manual,1193,157,2,2659975
BMW,3 Series,2023,8968,Petrol,Manual,1309,106,2,3071792
BMW,X1,2013,38007,Diesel,Manual,2516,215,2,2802112
Audi,Q3,2013,136196,Petrol,Manual,2719,321,2,2175477
Hyundai,Creta,2016,108460,Petrol,Manual,1072,147,1,537236
BMW,X1,2012,154752,Petrol,Automatic,3352,375,1,2574445
BMW,X1,2022,157840,Petrol,Automatic,2700,273,2,2683664
BMW,3 Series,2022,39872,Petrol,Manual,2651,374,1,3284232
BMW,5 Series,2020,84602,Diesel,Manual,1396,170,2,2583842
Audi,A3,2019,18875,Diesel,Manual,3267,282,2,2928473
Hyundai,i20,2019,155941,Petrol,Manual,2817,366,1,757350
Honda,City,2016,105791,Petrol,Automatic,1434,194,2,618184
Hyundai,Verna,2020,107068,Petrol,Manual,2513,239,1,1108645
Audi,A3,2014,67957,Petrol,Automatic,1582,158,1,2409822
Toyota,Camry,2022,26162,Diesel,Manual,2516,285,1,1615776
Audi,A3,2016,98384,Petrol,Manual,2103,303,1,2499763
Hyundai,i20,2016,83040,Diesel,Manual,1811,202,3,613577
Toyota,Fortuner,2018,128909,Diesel,Manual,1386,115,1,770261
BMW,3 Series,2013,82668,Diesel,Automatic,2571,315,1,2685244
Audi,Q3,2018,92077,Diesel,Automatic,3408,284,2,2794825
Hyundai,i20,2017,57849,Petrol,Automatic,3129,307,2,1159654
BMW,X1,2022,113981,Petrol,Automatic,2715,322,3,2836868
Hyundai,Verna,2023,58852,Petrol,Automatic,2626,331,3,1230835
Honda,City,2019,154877,Diesel,Manual,1683,243,1,848994
Toyota,Corolla,2020,135671,Petrol,Automatic,3124,423,1,1123388
Hyundai,Verna,2014,143262,Petrol,Automatic,2545,239,1,654226
Toyota,Corolla,2014,112819,Petrol,Manual,1068,156,3,359763
Hyundai,i20,2019,46392,Petrol,Manual,3110,250,1,1347716
Honda,Amaze,2017,10113,Petrol,Manual,1706,209,1,1203572
BMW,3 Series,2018,61565,Diesel,Automatic,2386,310,1,3175917
Toyota,Fortuner,2023,133375,Petrol,Automatic,2043,270,2,1075959
Toyota,Fortuner,2020,116273,Petrol,Automatic,2586,243,1,1283474
Toyota,Corolla,2016,11692,Diesel,Manual,3284,423,1,1423009
BMW,5 Series,2012,179407,Petrol,Manual,2867,427,1,2306488
BMW,X1,2020,75573,Diesel,Manual,3028,433,1,3021717
Audi,A3,2014,160521,Petrol,Manual,2199,201,1,2150766
Honda,Amaze,2016,102880,Diesel,Automatic,2009,199,1,921150
Hyundai,i20,2014,26430,Petrol,Automatic,1500,217,3,716728
Audi,A4,2022,23390,Petrol,Automatic,1446,197,1,2963815
BMW,X1,2017,42548,Petrol,Manual,1556,170,1,2835201
Honda,Civic,2014,67701,Diesel,Manual,2998,305,1,1012853
Hyundai,i20,2018,92134,Petrol,Automatic,2310,318,1,1059004
